"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"10713","ENSG00000162040",113.39267386027,1.37774550435523,0.000823934446504938,0.00555669973993338,"HS3ST6"
"10809","ENSG00000162599",476.657000846173,1.22930749983989,2.39582527864947e-06,4.42755592751404e-05,"NFIA"
"10860","ENSG00000162745",2118.74535687831,1.39817281371235,2.81882087550745e-09,1.44612738659367e-07,"OLFML2B"
"10862","ENSG00000162747",1005.88225314825,-2.56583562169153,1.02674922811333e-07,3.0449404974444e-06,"FCGR3B"
"10944","ENSG00000163053",82.4409603467502,1.59016893148362,1.49580867007276e-07,4.18636978973844e-06,"SLC16A14"
"10969","ENSG00000163145",94.563471284781,1.40223660668839,0.00263086565572249,0.0141805926831077,"C1QTNF7"
"10970","ENSG00000163154",192.343276061082,1.55220212558612,2.42678615143834e-06,4.46975393510198e-05,"TNFAIP8L2"
"10990","ENSG00000163219",501.756669030841,1.73506929860143,1.554304925592e-08,6.21142469066141e-07,"ARHGAP25"
"11081","ENSG00000163531",4376.23480005899,2.45996106353221,6.15961341267386e-12,6.87220512048951e-10,"NFASC"
"11091","ENSG00000163564",12.5926817124039,2.18941411759495,2.49944399006124e-06,4.57119518767324e-05,"PYHIN1"
"11135","ENSG00000163673",47.0381071657705,1.02257457048934,0.0030923387180672,0.0162005070307195,"DCLK3"
"11270","ENSG00000164076",70.4993658883382,-1.3184956448779,0.0105802736678585,0.0431785658580053,"CAMKV"
"11345","ENSG00000164270",3.20031589315232,-1.14156010982993,0.00639279160621453,0.0289950826183634,"HTR4"
"11368","ENSG00000164330",640.405648872442,1.74911097393881,5.93281093580879e-12,6.66874613503721e-10,"EBF1"
"11436","ENSG00000164619",174.335340681173,1.50143392883453,4.88948066911069e-10,3.23936189495254e-08,"BMPER"
"11544","ENSG00000165025",1244.96541433926,1.67786968496626,5.62286420803746e-07,1.28427245518737e-05,"SYK"
"11682","ENSG00000165626",453.924720292661,1.13251152905275,6.49520129142223e-06,0.000101687001125803,"BEND7"
"11709","ENSG00000165702",109.623965543704,-2.24467290187126,4.8937794586877e-08,1.65396519272675e-06,"GFI1B"
"11816","ENSG00000166159",2.24268156410104,1.59993117125581,0.00163896455837432,0.00970763850916325,"LRTM2"
